Timestamp,Which of the following best describe(s) how you think of yourself? (Please note that this survey is intended for people who are not just men all the time or just women all the time.),"In a magical world where all title fields on forms were optional and write-your-own, what would you want yours to be?","Supposing all pronouns were accepted by everyone without question and were easy to learn, which pronouns are you happy for people to use for you?",Feedback
09/02/2015 06:50:50,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Woman, Demigirl",No title at all,"Ey/em (Spivak), None/avoid pronouns, She/her, They/them (singular they)",
09/02/2015 06:51:29,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender, genderpunk",No title at all,"Questioning or unknown, They/them (singular they), vey/vem/veir",
09/02/2015 06:58:18,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Woman",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 07:00:03,"Genderqueer, Questioning or unknown",No title at all,"Any, She/her, They/them (singular they)",
09/02/2015 07:01:53,Nonbinary,Mx,"None/avoid pronouns, Questioning or unknown",
09/02/2015 07:08:19,"Nonbinary, Trans",Mx,"None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 07:09:30,"Man, Trans, Trans*, Transgender",Mr,"He/him, They/them (singular they)",
09/02/2015 07:09:30,"Androgyne, Fluid gender/genderfluid, Neutral, Nonbinary, Questioning or unknown, Trans",No title at all,"She/her, They/them (singular they), fae/faer",
09/02/2015 07:21:11,"Agender, Nonbinary",No title at all,"None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 07:21:41,Agender,Mx,They/them (singular they),
09/02/2015 07:22:52,"Agender, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary",Mx,"He/him, She/her",
09/02/2015 07:24:23,Genderqueer,No title at all,They/them (singular they),
09/02/2015 07:24:23,"Agender, Fluid gender/genderfluid, Genderqueer, Neutrois, Nonbinary, Questioning or unknown, Woman",No title at all,"It/that, She/her, They/them (singular they)",
09/02/2015 07:36:22,"Cisgender, Man, Nonbinary, Trans, demiboy who doesnt like being called trans by other people but calls self trans personally",Mr,He/him,
09/02/2015 07:41:16,Woman,No title at all,None/avoid pronouns,
09/02/2015 07:41:47,"Bigender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans*",Mx,Any,
09/02/2015 07:45:45,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Woman",Mx,They/them (singular they),
09/02/2015 07:52:27,"Genderqueer, Nonbinary",No title at all,They/them (singular they),
09/02/2015 08:03:21,"Agender, Nonbinary, Trans, Transgender",No title at all,"They/them (singular they), fae/faer",
09/02/2015 08:14:22,"Agender, Fluid gender/genderfluid, Neutral, Questioning or unknown, Woman",No title at all,"Any, None/avoid pronouns",
09/02/2015 08:23:32,"Androgyne, Fluid gender/genderfluid, Genderqueer, Man, Neutral, Nonbinary, Third Gender, Transgender, Woman",Mx,"None/avoid pronouns, She/her, They/them (singular they), ze/zer",
09/02/2015 08:31:49,"Androgyne, Genderqueer, Nonbinary, Trans",No title at all,They/them (singular they),
09/02/2015 09:31:19,Fluid gender/genderfluid,No title at all,"Any, They/them (singular they)",
09/02/2015 09:51:20,"Fluid gender/genderfluid, Nonbinary",Mx,Any,
09/02/2015 09:51:47,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 10:13:46,Questioning or unknown,Mr,He/him,
09/02/2015 10:34:57,"Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Trans, Trans*, Transgender, Woman",Dr,"Ey/em (Spivak), None/avoid pronouns, She/her, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 10:38:08,"Genderqueer, Nonbinary, Trans, Trans*, Transgender, transfeminine ",Ms,She/her,I live in the US. 
09/02/2015 10:48:31,"Neutral, Questioning or unknown, Woman",No title at all,"Questioning or unknown, She/her, They/them (singular they)",
09/02/2015 10:56:58,"Agender, Fluid gender/genderfluid, Nonbinary, Questioning or unknown, Trans",No title at all,"Ey/em (Spivak), He/him, It/that, They/them (singular they)",
09/02/2015 11:02:57,"Genderqueer, Nonbinary, Questioning or unknown, Trans, Transgender",No title at all,"Questioning or unknown, They/them (singular they)",
09/02/2015 11:05:51,"Intergender, Nonbinary",No title at all,None/avoid pronouns,
09/02/2015 11:11:19,Agender,No title at all,They/them (singular they),
09/02/2015 11:14:35,"Androgyne, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Trans, Trans*, Transgender",Mr,"He/him, They/them (singular they)",
09/02/2015 11:21:10,"Nonbinary, Questioning or unknown",No title at all,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 11:25:14,"Genderqueer, Nonbinary",Mx,"None/avoid pronouns, They/them (singular they)",
09/02/2015 11:25:28,"Agender, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Questioning or unknown",No title at all,They/them (singular they),
09/02/2015 11:25:53,Two-Spirited,Msr,They/them (singular they),
09/02/2015 11:26:14,"Genderqueer, Third Gender, Trans, Transgender, Woman, Two-Spirit",Rev,She/her,"I think these stats would be more valuable if you could compare amab and afab responders, but that information wasn't requested. Also could have used more than one Other box on items that allowed choosing multiple responses."
09/02/2015 11:26:40,"Nonbinary, Trans, Transgender",Mx,"Ey/em (Spivak), It/that, They/them (singular they)",B ) cool
09/02/2015 11:28:19,"Agender, Fluid gender/genderfluid, Man, Neutral, Nonbinary, Trans*, Transgender, transmaculine",no title at all but i like the Mx one,"They/them (singular they), Zie/hir, or some variation thereof, ze/zir/zis","i live outside the UK (in Hungary). my pronoun preference doesn't matter in my country (as there are no gender-related pronouns at all) but in situations when English is used/spoked, i'm fine with those pronouns i put a tick mark."
09/02/2015 11:28:27,Woman,Ms,She/her,
09/02/2015 11:28:32,"Fluid gender/genderfluid, Neutral, Nonbinary, Trans",Mx,They/them (singular they),
09/02/2015 11:29:21,Androgyne,No title at all,Fe/Fay,
09/02/2015 11:31:29,"Genderqueer, Nonbinary, Woman",No title at all,"Any, He/him, She/her, They/them (singular they)",
09/02/2015 11:32:12,"Agender, Nonbinary, Trans",No title at all,They/them (singular they),
09/02/2015 11:35:05,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"He/him, They/them (singular they)",
09/02/2015 11:36:34,"Genderqueer, Nonbinary, Trans, Trans*, Transgender",Mr,"He/him, ey/em",
09/02/2015 11:40:44,"Genderqueer, Nonbinary, Transgender",Mx,"They/them (singular they), ze/zer",
09/02/2015 11:41:14,"Fluid gender/genderfluid, Genderqueer, Trans*",No title at all,They/them (singular they),
09/02/2015 11:44:00,"Agender, Genderqueer, Nonbinary, Trans, Trans*, Transgender",No title at all,"It/that, They/them (singular they)",
09/02/2015 11:47:02,"Nonbinary, Trans",Mr,"He/him, They/them (singular they)",
09/02/2015 11:48:46,"Agender, Nonbinary, Trans, Transperson",No title at all,They/them (singular they),
09/02/2015 11:55:19,"Agender, Fluid gender/genderfluid, Nonbinary, Transgender, Woman",Misc,"None/avoid pronouns, They/them (singular they)",
09/02/2015 12:09:52,"Agender, Nonbinary, Trans, Transgender",No title at all,"He/him, It/that, They/them (singular they)",
09/02/2015 12:12:24,"Fluid gender/genderfluid, Nonbinary, Transgender",Mx,They/them (singular they),
09/02/2015 12:16:54,"Agender, Neutrois, Nonbinary, Trans*",Mx,They/them (singular they),
09/02/2015 12:17:57,"Fluid gender/genderfluid, Genderqueer, Man, Nonbinary, Third Gender, Trans, Transgender",Mr,He/him,
09/02/2015 12:17:58,Agender,No title at all,They/them (singular they),
09/02/2015 12:18:04,"Agender, Neutral, Nonbinary",Mx,"Any, They/them (singular they), ne/nem","I have lived in the UK, if that helps. Also: the survey was good."
09/02/2015 12:18:05,Fluid gender/genderfluid,Miss,Fae/faem,
09/02/2015 12:18:56,"Fluid gender/genderfluid, Nonbinary",Dr (cos I am),They/them (singular they),Qualifying and being able to use Dr as my title totally rocks my world.
09/02/2015 12:18:58,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 12:19:40,"Genderqueer, Man",No title at all,"He/him, They/them (singular they)",
09/02/2015 12:27:21,Nonbinary,No title at all,"They/them (singular they), xe/xem ... not sure if counted under zie/hir, if so put this tick in the zie/hir catagory",
09/02/2015 12:33:36,"Androgyne, Genderqueer, Nonbinary, Trans*",No title at all,En,
09/02/2015 12:37:06,"Androgyne, Nonbinary",Misc,They/them (singular they),"I think this is a pretty good start to a survey, but you could go more in depth. "
09/02/2015 12:37:26,"Fluid gender/genderfluid, Genderqueer, Intergender, Nonbinary, Questioning or unknown, Woman",Mx,"Questioning or unknown, She/her, They/them (singular they)",
09/02/2015 12:38:33,"Cisgender, Questioning or unknown, Woman",Mrs,"She/her, They/them (singular they)",
09/02/2015 12:38:54,Genderqueer,No title at all,They/them (singular they),
09/02/2015 12:41:13,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans",Mx,"They/them (singular they), Xe/xem",
09/02/2015 12:43:00,"Agender, Neutrois",No title at all,"They/them (singular they), mer/mers",
09/02/2015 12:44:35,"Cisgender, Woman",No title at all,"She/her, They/them (singular they)",
09/02/2015 12:45:24,"Bigender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Woman",No title at all,"She/her, They/them (singular they)",
09/02/2015 12:47:48,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans",No title at all,"None/avoid pronouns, She/her, They/them (singular they)",
09/02/2015 12:51:01,"Agender, Androgyne, Fluid gender/genderfluid, Genderqueer, Man, Neutral, Nonbinary, Trans, Woman",No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 12:52:52,"Genderqueer, Transgender",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 12:52:48,"Genderqueer, Nonbinary, Trans*",No title at all,They/them (singular they),
09/02/2015 12:56:49,"Fluid gender/genderfluid, Genderqueer",No title at all,They/them (singular they),
09/02/2015 13:00:50,"Agender, Neutral, Neutrois",Mx,"Co/co, Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof, en/en",
09/02/2015 13:05:17,"Androgyne, Nonbinary, Trans",M,They/them (singular they),
09/02/2015 13:14:07,Nonbinary,No title at all,They/them (singular they),
09/02/2015 13:14:55,Nonbinary,No title at all,They/them (singular they),
09/02/2015 13:15:48,"Agender, Androgyne, Neutral, Trans, Woman",No title at all,Any,
09/02/2015 13:18:59,Androgyne,No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 13:22:24,"Agender, Nonbinary, Questioning or unknown",No title at all,"She/her, They/them (singular they)",
09/02/2015 13:25:44,"Fluid gender/genderfluid, Trans*, Transgender",Mx,"Ey/em (Spivak), He/him, She/her, They/them (singular they)",
09/02/2015 13:29:07,"Agender, Genderqueer, Nonbinary",No title at all,"It/that, They/them (singular they)",
09/02/2015 13:33:54,"Genderqueer, Neutrois, Nonbinary, Trans, Transgender, Transmasculine",Mx,"He/him, They/them (singular they)",I live in USA. :D
09/02/2015 13:37:29,"Neutral, Questioning or unknown, Demigirl",No title at all,"Any, She/her",
09/02/2015 13:38:10,"Androgyne, Fluid gender/genderfluid, Genderqueer, Man, Nonbinary, Trans, Trans*, Transgender",No title at all,They/them (singular they),
09/02/2015 13:38:24,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"Any, Co/co, Ey/em (Spivak), He/him, It/that, None/avoid pronouns, Questioning or unknown, She/her, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 13:42:17,Genderqueer,No title at all,None/avoid pronouns,
09/02/2015 13:43:40,"Genderqueer, Nonbinary",Mx,They/them (singular they),
09/02/2015 13:45:07,"Genderqueer, Nonbinary, Trans, Trans*, Transgender",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 13:50:06,"Agender, Fluid gender/genderfluid, Genderqueer",Mx,Any,
09/02/2015 13:53:54,"Agender, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
09/02/2015 13:58:46,Fluid gender/genderfluid,No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 13:59:49,Questioning or unknown,No title at all,"He/him, They/them (singular they)",
09/02/2015 13:59:56,"Fluid gender/genderfluid, Genderqueer, Nonbinary",Miss,"He/him, She/her, They/them (singular they)",
09/02/2015 14:00:03,"Genderqueer, Nonbinary, Questioning or unknown",No title at all,"Ey/em (Spivak), Questioning or unknown, They/them (singular they)",
09/02/2015 14:00:38,"Genderqueer, Nonbinary",M,"None/avoid pronouns, They/them (singular they), ve/vem/ver/vers/verself",
09/02/2015 14:00:41,Bigender,Pr,It/that,
09/02/2015 14:04:16,"Genderqueer, Questioning or unknown",No title at all,They/them (singular they),
09/02/2015 14:05:22,"Genderqueer, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
09/02/2015 14:07:51,"Trans, Trans*, Transgender, Woman",No title at all,"None/avoid pronouns, She/her, They/them (singular they)",
09/02/2015 14:07:55,Fluid gender/genderfluid,Ms,"He/him, She/her, They/them (singular they)",
09/02/2015 14:08:26,Fluid gender/genderfluid,No title at all,An equal mix of both him/her,
09/02/2015 14:10:16,person,Pr,per,
09/02/2015 14:11:43,queer,No title at all,Questioning or unknown,
09/02/2015 14:11:47,"Genderqueer, Intergender, Nonbinary",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 14:14:15,Trans,No title at all,"None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 14:14:50,"Androgyne, Fluid gender/genderfluid, Nonbinary, Questioning or unknown",Mx,"None/avoid pronouns, She/her, xe/xem/xir",
09/02/2015 14:15:46,Agender,Mx,"None/avoid pronouns, They/them (singular they), Zie/hir, or some variation thereof, shim",
09/02/2015 14:18:44,"Genderqueer, Nonbinary, Trans*, Transgender",No title at all,They/them (singular they),"Thanks for doing this... It would be great if you could publish both the results for the UK & elsewhere as I think there would be a lot of interest.  

All the best.  "
09/02/2015 14:21:32,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown",No title at all,"None/avoid pronouns, I would prefer gender neutral pronouns as a standard for everyone but not of they're used only on those od us who don't apply to male or female.",
09/02/2015 14:24:15,"Genderqueer, Neutral, Nonbinary",No title at all,"It/that, They/them (singular they)",
09/02/2015 14:26:38,"Genderqueer, Intergender, Transgender",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 14:26:53,"Androgyne, Nonbinary, Trans, Transgender",No title at all,They/them (singular they),
09/02/2015 14:27:14,"Agender, Nonbinary, Transgender, aporagender",No title at all,"Ey/em (Spivak), It/that, They/them (singular they)",
09/02/2015 14:27:53,"Agender, Androgyne, Fluid gender/genderfluid, Genderqueer, Intergender, Neutral, Neutrois, Nonbinary, Trans, Transgender, Queer",No title at all,They/them (singular they),
09/02/2015 14:30:31,"Androgyne, Nonbinary, Trans",No title at all,They/them (singular they),
09/02/2015 14:31:38,"Agender, Neutral, Nonbinary, trans/nonbinary",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 14:32:52,"Androgyne, Genderqueer, Nonbinary",Mr,"It/that, They/them (singular they)",
09/02/2015 14:33:15,"Fluid gender/genderfluid, Genderqueer, Neutrois, Nonbinary, Trans*",No title at all,"He/him, None/avoid pronouns",
09/02/2015 14:34:24,"Androgyne, Cisgender, Fluid gender/genderfluid, Genderqueer, Nonbinary",Ms,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 14:35:22,"Bigender, Man, Woman",No title at all,"He/him, She/her",
09/02/2015 14:38:53,"Man, Nonbinary, Trans, Transgender",No title at all,"He/him, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 14:43:20,"Agender, Nonbinary, Questioning or unknown, Woman",Miss,"She/her, They/them (singular they)","I most prefer the pronouns they/them in English, but in my native language there are no such pronouns, so I refer to myself with the equivalent of she/hers."
09/02/2015 14:43:40,Agender,No title at all,None/avoid pronouns,
09/02/2015 14:45:36,"Androgyne, Bigender, Genderqueer, Nonbinary",No title at all,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 14:46:26,"Agender, Nonbinary, Trans, Transgender",Mx,"He/him, They/them (singular they), V",
09/02/2015 14:46:42,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans*, Transgender",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 14:50:25,"Agender, Androgyne, Neutral, Nonbinary",No title at all,They/them (singular they),
09/02/2015 14:50:27,"Nonbinary, Trans, Trans*, Transgender",No title at all,"He/him, hen (norwegian)",
09/02/2015 14:51:18,Woman,Ms,She/her,
09/02/2015 14:51:26,"Genderqueer, Nonbinary, Trans*, Nongender",No title at all,"Zie/hir, or some variation thereof, Xie",
09/02/2015 14:53:28,"Cisgender, Fluid gender/genderfluid, Questioning or unknown",No title at all,"None/avoid pronouns, Questioning or unknown",
09/02/2015 14:53:43,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,None/avoid pronouns,
09/02/2015 14:54:09,"Genderqueer, Intergender",Mx,"Zie/hir, or some variation thereof",
09/02/2015 14:56:32,"Genderqueer, Neutral, Nonbinary, Third Gender, Juxera",Mx,They/them (singular they),
09/02/2015 14:59:51,"Androgyne, Genderqueer, Neutral, Neutrois, Nonbinary, Trans, Transgender",Mx,They/them (singular they),
09/02/2015 14:59:58,Neutral,No title at all,one/they/them,
09/02/2015 15:00:10,"Genderqueer, Nonbinary, Questioning or unknown",Misc,Any,
09/02/2015 15:01:07,"Agender, Androgyne, Nonbinary",Ind,"Zie/hir, or some variation thereof",
09/02/2015 15:02:54,"Genderqueer, Questioning or unknown, Trans, Trans*",No title at all,They/them (singular they),
09/02/2015 15:03:14,Fluid gender/genderfluid,No title at all,They/them (singular they),
09/02/2015 15:04:11,Transgender,Miss,She/her,
09/02/2015 15:04:25,"Agender, Nonbinary, Questioning or unknown",Mx,"It/that, None/avoid pronouns, They/them (singular they)",
09/02/2015 15:04:27,"Agender, Androgyne, Genderqueer, Nonbinary, Human Being",No title at all,They/them (singular they),
09/02/2015 15:04:38,Genderqueer,No title at all,Any,
09/02/2015 15:04:40,Genderqueer,No title at all,They/them (singular they),
09/02/2015 15:04:44,"Agender, Genderqueer, Neutrois, Nonbinary, Trans, Trans*",Mx,Ze/zir,
09/02/2015 15:07:03,Agender,No title at all,Any,
09/02/2015 15:07:58,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 15:11:33,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",Mx,"He/him, She/her, They/them (singular they)",
09/02/2015 15:11:39,"Fluid gender/genderfluid, Genderqueer, Questioning or unknown",Mx,"Any, Questioning or unknown, She/her, They/them (singular they)","In case it matters, I live in an urban area in the US Midwest."
09/02/2015 15:12:45,"Androgyne, Man, Transgender, Woman",Mr,"He/him, They/them (singular they), Sie/ihre",
09/02/2015 15:13:14,"Cisgender, Fluid gender/genderfluid, Genderqueer, Man, Neutral, Nonbinary, Third Gender, Trans, Trans*, Transgender, Woman",No title at all,"Zie/hir, or some variation thereof",
09/02/2015 15:16:26,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,They/them (singular they),
09/02/2015 15:16:44,Nonbinary,No title at all,They/them (singular they),
09/02/2015 15:17:53,"Androgyne, Intergender, Nonbinary, Trans, Trans*, Transgender, Woman",No title at all,"Ey/em (Spivak), She/her, They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 15:18:20,"Agender, Nonbinary, Trans, Null",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 15:19:57,"Agender, Fluid gender/genderfluid, Neutrois, Questioning or unknown",Mx,"Questioning or unknown, They/them (singular they)",Thanks for doing this survey again !
09/02/2015 15:20:25,"Agender, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Trans*, Transgender, Woman",No title at all,None/avoid pronouns,
09/02/2015 15:20:34,"Agender, Nonbinary, Trans, Trans*",No title at all,"It/that, None/avoid pronouns, They/them (singular they), strictly speaking, I prefer the standard declension of `it' of which `that' is not a part",
09/02/2015 15:22:33,"Fluid gender/genderfluid, Neutral, Neutrois, Questioning or unknown",No title at all,"None/avoid pronouns, Questioning or unknown, They/them (singular they), possibly ae / aer ",
09/02/2015 15:23:57,Agender,No title at all,"Ey/em (Spivak), They/them (singular they)",
09/02/2015 15:25:55,"Fluid gender/genderfluid, Nonbinary, Trans",No title at all,"They/them (singular they), xe/ze",
09/02/2015 15:26:53,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender, demigender, demiflux",Mx,"They/them (singular they), fey/feyr/feyrs/feyself, shade/shaded/shades/shadeself, em/ember/embers/emself",
09/02/2015 15:27:24,Agender,No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 15:28:11,"Androgyne, Fluid gender/genderfluid, Genderqueer, Man, Third Gender, Woman",Mx,"He/him, She/her, Zie/hir, or some variation thereof",
09/02/2015 15:28:52,"Genderqueer, Trans*",No title at all,"Ey/em (Spivak), He/him",
09/02/2015 15:31:45,"Nonbinary, Trans, Trans*, Genderglitch",Mx,"They/them (singular they), Vee/Ver",I hope you receive 5000 responses this time! <3
09/02/2015 15:31:55,Genderqueer,No title at all,"Ey/em (Spivak), They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 15:31:57,"Androgyne, Fluid gender/genderfluid, Genderqueer, Third Gender, Trans*",No title at all,"Any, They/them (singular they), New options that have yet to exist",
09/02/2015 15:33:03,"Bigender, Transgender",Mx,He/him,
09/02/2015 15:33:56,Genderqueer,No title at all,"Any, They/them (singular they)",
09/02/2015 15:34:03,"Genderqueer, Nonbinary, Questioning or unknown",No title at all,They/them (singular they),
09/02/2015 15:34:20,"Androgyne, Fluid gender/genderfluid, Genderqueer, Trans, Transgender, Transfeminine",Mx,They/them (singular they),
09/02/2015 15:37:32,"Agender, Bigender, Fluid gender/genderfluid, Man, Trans*",No title at all,"They/them (singular they), Xe,xem,xyr",
09/02/2015 15:39:25,Nonbinary,No title at all,don't care,
09/02/2015 15:39:35,"Neutrois, Nonbinary, Trans, Transgender, transsexual, tenderqueer, preterbinary",No title at all,They/them (singular they),
09/02/2015 15:41:30,"Agender, Bigender, Nonbinary, Questioning or unknown, Woman",No title at all,"She/her, They/them (singular they)",
09/02/2015 15:43:01,"Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,None/avoid pronouns,
09/02/2015 15:43:18,"Agender, Genderqueer, Neutral, Neutrois, Nonbinary",No title at all,"Ey/em (Spivak), They/them (singular they)",
09/02/2015 15:43:26,"Bigender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Transgender",No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 15:44:32,"Genderqueer, Nonbinary, Trans, Transgender",Comrade,"They/them (singular they), Zie/hir, or some variation thereof","I'm not being sarcastic about the comrade thing, I am actually a communist."
09/02/2015 15:45:52,fille queer,No title at all,She/her,
09/02/2015 15:46:22,"Agender, Neutral, Nonbinary",No title at all,Questioning or unknown,
09/02/2015 15:47:28,"Agender, Nonbinary, Trans",No title at all,They/them (singular they),
09/02/2015 15:48:34,Woman,No title at all,Any,
09/02/2015 15:48:54,Fluid gender/genderfluid,No title at all,They/them (singular they),
09/02/2015 15:50:20,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary, Trans, Trans*, Transgender",Mx,Any,
09/02/2015 15:50:50,"Bigender, Nonbinary, Questioning or unknown",No title at all,She/her,"""Not men all the time or women all the time"" could be taken to exclude people who always identify as more than one gender, including a binary gender, and I hope I understood correctly that it was only meant to exclude people who are exclusively male or exclusively female?"
09/02/2015 15:51:09,"Agender, Bigender, Genderqueer, Nonbinary, Questioning or unknown, Third Gender",No title at all,They/them (singular they),
09/02/2015 15:52:27,Agender,No title at all,"He/him, They/them (singular they)",
09/02/2015 15:52:28,"Agender, Androgyne, Fluid gender/genderfluid, Genderqueer, Neutrois, Nonbinary, Questioning or unknown, Trans*",Emperor,"Ey/em (Spivak), E, em, eir, eirs",I love you
09/02/2015 15:53:23,"Androgyne, Woman",No title at all,"None/avoid pronouns, They/them (singular they)",
09/02/2015 15:53:58,"Fluid gender/genderfluid, Genderqueer",No title at all,She/her,
09/02/2015 15:54:21,"Agender, Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans, Trans*",No title at all,They/them (singular they),
09/02/2015 15:54:43,"Agender, Genderqueer, Nonbinary, Questioning or unknown, Trans, Queer",No title at all,"None/avoid pronouns, They/them (singular they)",I've lived in the UK and would like to return in the future though :) 
09/02/2015 15:55:00,"Androgyne, Fluid gender/genderfluid, Genderqueer, Neutral, Nonbinary, Trans, Trans*, Transgender",Mx,"He/him, They/them (singular they)",
09/02/2015 15:55:01,"Agender, Neutral, Nonbinary, Trans",Mx,They/them (singular they),"Ideally I would want my title to be Dr, but that's a different circumstance haha"
09/02/2015 15:57:01,Nonbinary,Mx,"She/her, They/them (singular they)",
09/02/2015 15:58:25,Agender,No title at all,None/avoid pronouns,
09/02/2015 15:59:45,"Fluid gender/genderfluid, Man",Mr,"He/him, They/them (singular they)",
09/02/2015 15:59:49,"Genderqueer, Nonbinary",No title at all,They/them (singular they),
09/02/2015 16:00:03,"Fluid gender/genderfluid, Questioning or unknown, Woman",No title at all,"Ey/em (Spivak), None/avoid pronouns, Questioning or unknown",
09/02/2015 16:00:21,"Agender, Cisgender, Genderqueer, Man",Miss,"Co/co, Ey/em (Spivak), It/that",
09/02/2015 16:00:58,Fluid gender/genderfluid,No title at all,She/her,
09/02/2015 16:02:15,"Neutral, Woman, Genderless",No title at all,They/them (singular they),
09/02/2015 16:02:26,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Trans, Transgender",Mx,"He/him, She/her, They/them (singular they)",
09/02/2015 16:02:55,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown, Woman",No title at all,"Any, He/him, She/her, They/them (singular they)",
09/02/2015 16:03:13,"Androgyne, Genderqueer",No title at all,Any,
09/02/2015 16:03:39,"Fluid gender/genderfluid, Genderqueer, Man, Nonbinary, Trans*, Transgender, Woman",No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 16:04:50,"Fluid gender/genderfluid, Nonbinary, Trans*, Transgender, Woman",No title at all,"She/her, They/them (singular they)",
09/02/2015 16:06:13,"Androgyne, Genderqueer, Nonbinary, Trans, Trans*, Transgender, Woman, genderfucked",Mx,"None/avoid pronouns, They/them (singular they)","Why not make the Preferred Titles section non-binary, too? I alternate between Mx. and Ms., but had no way of indicating this. "
09/02/2015 16:08:43,"Genderqueer, Nonbinary, Trans, Trans*",Unsure,"Any, They/them (singular they)",
09/02/2015 16:09:39,"Fluid gender/genderfluid, Genderqueer",Dr. (eventually),"She/her, They/them (singular they)",
09/02/2015 16:13:06,Genderqueer,No title at all,Any,
09/02/2015 16:15:16,Woman,No title at all,"He/him, She/her, They/them (singular they)",
09/02/2015 16:16:43,"Genderqueer, Trans",No title at all,She/her,
09/02/2015 16:17:27,"Fluid gender/genderfluid, Genderqueer, Nonbinary, Questioning or unknown",No title at all,"She/her, They/them (singular they)",
09/02/2015 16:18:50,Agender,Mx,"It/that, They/them (singular they)",
09/02/2015 16:19:32,"Androgyne, Genderqueer, Nonbinary, Transgender",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 16:19:33,"Genderqueer, Nonbinary, Demigirl",Mx,They/them (singular they),
09/02/2015 16:19:54,"Androgyne, Intergender, Nonbinary",Mx,"They/them (singular they), Zie/hir, or some variation thereof",
09/02/2015 16:22:54,"Androgyne, Fluid gender/genderfluid, Genderqueer, Nonbinary",No title at all,"She/her, They/them (singular they)",
